CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-9.9117+12.5729*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "4.08807+-3.56513*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "3.03645+-2.38948*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "3.42734+-2.81367*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "-2.19517+3.15819*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "2.95503+-2.23751*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "4.19834+-3.52259*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "8.36706+-7.77421*x"
3, iterativefit, down_jes, 0, 0.0, 2.4, 20, 30, 0.9985, 1.1, "0.536692"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, -15, 0, "2.54698"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0, 0.12, "-0.114711"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.12, 0.35, "-0.814039+5.54094*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.35, 0.494, "-7.63781+25.0374*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.494, 0.562, "37.6018+-66.5407*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.562, 0.63, "-8.46596+15.4304*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.63, 0.698, "-0.303684+2.47439*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.698, 0.766, "8.17953+-9.67921*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.766, 0.8135, "-11.2388+15.6711*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "21.8708+-25.0291*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-11.2948+14.4302*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "7.84626+-7.63435*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "0.63857+0.423439*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "0.984429+0.0481173*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "-0.171116+1.27546*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "-0.976099+2.11882*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "5.51088+-4.58607*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "12.0811+-11.2869*x"
3, iterativefit, up_lf, 0, 0.0, 2.4, 20, 30, 0.9985, 1.1, "0.6239"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, -15, 0, "2.77423"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0, 0.12, "0.736343"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.12, 0.35, "0.57508+2.44088*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.35, 0.494, "-4.3107+16.4003*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.494, 0.562, "19.7171+-32.239*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.562, 0.63, "5.70237+-7.30177*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.63, 0.698, "0.358673+1.18029*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.698, 0.766, "5.63865+-6.38414*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.766, 0.8135, "-5.93125+8.72017*x"
3, iterativefit, down_lf, 0, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "15.7892+-17.9798*x"
